	coefficient	p_value	random_intercept_variance	residual_variance	log_likelihood	aic	bic	bse	q_value
ANXA6	0.9261837765956642	6.173645552406791e-10	0.08626208593848861	0.4275102422939632	-391.44731100928675			0.14972419911264406	3.4544109421250265e-09
ACADVL	0.42702848765316204	0.00041626700965288743	0.2477322598241005	0.2934756776945248	-323.51280642655774			0.12098666556535144	0.0013005029823868874
ACSL1	-2.0845850663557672	1.2308398551844129e-51	0.07531473105400956	0.38133556166857	-375.03731219749375			0.13788691593540317	3.263388913340295e-50
MDH2	1.1159807637334929	4.100902106185882e-12	0.04881345198338241	0.5048446760884153	-419.60992543630186			0.16095118559625607	2.6123279001093183e-11
UTRN	0.44961576970308464	0.00835367238967219	0.19351856128931946	0.44685964874449874	-314.90316363139175			0.17047492153499652	0.018838971527053834
HAL	1.2898491545737067	8.326406598064832e-26	0.013780601497687596	0.2798713584141559	-293.4344411402917			0.12280222117255449	9.961225454514147e-25
HSP90B1	1.054468774459267	1.3209734506647837e-19	0.2452407802612967	0.27303419706106435	-311.8142903439507			0.11640486414839563	1.2704656422570127e-18
PAH	-1.0751135077470992	3.590992434459186e-14	0.22444430264518303	0.3814369869019255	-358.2510278102475			0.1419289836429852	2.5713602760616503e-13
RAB1A	0.26666205646796304	0.13112199996621524	0.12416653377838092	0.5925839356801867	-442.8848906984131			0.1766334015344279	0.19668299994932287
MDH1	0.5635729703571524	1.7612509004366124e-06	0.35514668996389553	0.26978863047395274	-301.3813895950325			0.11792572358097822	7.415395422009943e-06
CANX	0.06715520847580395	0.6926868463748854	0.01313047059665706	0.5707947899992839	-446.4796597481902			0.16992222569941798	0.7575538420220319
RACK1	0.1823421727807151	0.3492736714718142	0.005639795103292963	0.7231203370307144	-472.66652457228815			0.1948102092083775	0.4409748670705917
SHMT1	0.3063629963843276	0.12672989274216795	0.13849276677297542	0.7214407829197742	-457.09109578576727			0.20061420326513066	0.1906779521166668
APOB	0.5050523894205599	0.004058642353035525	0.16081744341886173	0.5963385971090852	-440.83355125573667			0.17575796471754673	0.00997876728904223
DLD	0.8624719208904572	2.694690964137318e-08	2.444828192464139e-08	0.5219407375333883	-425.6133667904387			0.1551153312371012	1.328387857195331e-07
PSMC5	-0.41400932790067074	0.040711488702726444	0.13058047039308418	0.6490391086437511	-385.015411838937			0.20230547276143426	0.07493052611139708
YWHAE	0.03382479666826456	0.8549667829568126	0.06169240263813424	0.654698718970577	-459.66346796821176			0.18505244876627017	0.8873664906401316
NMT1	0.011952784931114757	0.9571533219075402	0.07618666746049606	0.7352289977244114	-378.5420495325958			0.22247597472861436	0.9660158526659433
PSMC1	-0.7299819035872371	0.00011473290545160547	0.06674933369592638	0.655076092053173	-451.34383818059246			0.1892559045631374	0.0003828332661497448
HSP90AA1	-0.8546006137668966	4.820539547938074e-08	0.0015497336793120508	0.4760126394970989	-402.9566375930824			0.15658317928783422	2.3181124002584563e-07
ATP5MJ	0.6131503264488659	0.00016359048182008613	0.060782494020638865	0.4845431312939236	-393.9264951288458			0.1626619423437021	0.0005331636633405465
HNRNPK	0.2667406775413598	0.10280633404441293	1.6802029442808102e-08	0.5242116472783688	-423.14662574203385			0.16350433938711006	0.15932545607830817
GLUD2	-0.4653517968798363	0.00034254862713158394	0.2493038122447065	0.34293615504134034	-356.40021281319946			0.12995762857952334	0.0010736108728948367
PSMC6	0.6088134523810269	0.0017573162143430855	0.08499889749634507	0.5825038341362639	-360.8002886379709			0.1946055346572825	0.004762229851576151
ARF4	0.4891597238334652	0.002393071080595352	0.16363676580160355	0.4696691042316846	-377.7048598601814			0.16109093410741918	0.0062770126472300545
TKT	-0.3913711650217523	0.006917228251012179	0.07477478884785105	0.41807344190884	-391.97574444896895			0.14490918249604995	0.01578093235870453
EPHX2	-1.024278122583434	4.651278364713322e-16	0.2066292962254767	0.3167556004356799	-338.1383394721581			0.12613835119903502	3.6797613514385236e-15
AMACR	0.3127973342778004	0.11369012471950815	0.09873539296775916	0.6172401117727195	-385.17663223744466			0.1977449165360588	0.1742656442966211
YWHAZ	-0.009883603878577675	0.9590572597063677	0.12972777336189498	0.6803060688211354	-453.96832599440063			0.19252527799800617	0.9660602081703354
RIDA	1.090704748881071	6.158943263169945e-14	0.09572895959990614	0.37204109825718645	-336.02765931934323			0.1453370460970789	4.3467074396904436e-13
EIF3E	-0.19691689443231727	0.3511929304773568	0.02583087481776585	0.7334028267601728	-414.09042853298774			0.2112212424086281	0.4422596467243735
CYP2D6	-0.22388019245661356	0.11550078748628943	0.07219160861531392	0.39962676015686666	-380.2697866153917			0.1422416763338435	0.17648952106549834
CPOX	-0.18612389998332637	0.4028699621980637	0.05007546549909296	0.7111478188408792	-359.48097823678415			0.22250141091202086	0.49463758813053876
HGD	-0.4754503063811112	0.006008649340923679	0.02525157190130984	0.5709029009657646	-426.4610603107983			0.17306036738658667	0.013967973941815471
GPD1	-1.324138725159465	2.684690433857883e-17	0.006622013212445768	0.49262758474192603	-420.82243270061554			0.15652637025074434	2.310246768082968e-16
KRT18	-0.07150009121245146	0.5914038591737694	0.31787197960911584	0.3347000086888297	-349.224901705664			0.13319620429962467	0.6660932099305026
BSG	0.1437937369641251	0.38478809071188147	0.016385004592536646	0.5327128024031551	-428.90509164402874			0.16544980121034214	0.4766125214499441
TPI1	0.18852000764897128	0.283768555445025	0.010563215252837111	0.5671398337041789	-417.7221967016617			0.17587593916027872	0.3711692705220927
MMUT	0.36068100118122437	0.02822796872186895	0.04517407830096968	0.5244598174318538	-422.40297285438396			0.1643865017785683	0.055383274632306884
HSP90AB1	-0.9427870658262035	7.116488410868268e-16	0.18325730016673872	0.2658855446086435	-302.523260650127			0.11684781902491763	5.585020104849418e-15
ECI1	-1.6707063571003624	2.1235776036347417e-27	0.0012589420966232282	0.48412998011369013	-419.8930057861319			0.1540637215100251	2.7054930248904957e-26
C3	0.5252161530196153	0.00011527545212241028	0.2961169468625603	0.35334966685223784	-349.7551975240806			0.13620885512421887	0.0003833397238375745
HSPA9	0.4597470689733139	0.0030823510461626233	0.052301799948824924	0.4880614096519975	-426.0178783979193			0.15535125603671812	0.00783364346187962
HSD17B4	-1.832955863304432	4.748838971105682e-31	0.06809514538236981	0.4724024614528743	-403.06232275741854			0.15817906634758855	6.953150792021901e-30
FECH	0.0258914187965041	0.8862986416326948	0.02346631215604877	0.6121936293371276	-434.50215534281665			0.18107243737468767	0.912732042429082
LMNB1	0.2931806453597949	0.10189684353917851	0.15206566661704557	0.5323185714699873	-370.87585768325357			0.1792357388346761	0.1581658283416679
RPS14	0.23008682118203158	0.1491857255273989	0.0888003418934665	0.4997824567791322	-420.40635793902993			0.15951514804742836	0.21853033624002735
CYB5A	-2.149491700784521	1.2498856531455837e-89	0.029385990131645574	0.23001026962586707	-276.9075402627177			0.10707929622735048	1.3623753619286862e-87
FTH1	-0.14350921063726804	0.4233657448785575	0.02315733268259101	0.6002142996154601	-414.5563919989279			0.17925303854298963	0.5127429576862529
PC	0.8663642050184397	3.7047615981164586e-10	0.06751903416246324	0.3882303587222299	-381.28065690678704			0.138264648645481	2.137865369266027e-09
EIF3A	-0.06768679179380786	0.7029220620752575	0.08038040400005124	0.6091027117301985	-447.6201376743993			0.17747908715289257	0.7661850476620307
PRDX3	-0.5816452034735478	0.0008615550195615729	0.004431269241187264	0.5951487474595131	-444.55472409016306			0.174551757013022	0.0024713025561108274
P4HB	0.04001685277819437	0.7757424036616625	0.23632725195556514	0.3966234129834345	-384.78029788581034			0.14047322515180433	0.8289796274423648
FASN	0.9403453956942105	4.609619948404733e-09	0.04693084106811173	0.5124572952781106	-433.3217937158886			0.16044974515174562	2.444344415883807e-08
GOT1	1.062466278702321	1.9566695799938742e-11	0.0609347060929079	0.4599393445803872	-375.1298943861418			0.15835912622137177	1.199683036233744e-10
HSD17B10	-0.8269318496547994	1.8981729737979978e-07	0.0648257123317237	0.5081755184460403	-429.82000523083843			0.15874928977583722	8.620868922665907e-07
RPS26	-0.06062509686649997	0.7372211599519585	6.361364368691484e-11	0.6318758891173867	-456.4281581420721			0.18068161026767138	0.7938682304202759
PA2G4	0.4299219313020657	0.01896454360676712	0.09043836661892081	0.6058103439576306	-420.8921397684737			0.18323968477704997	0.03900255194599275
ATP5F1B	1.8384202649024501	4.8634470087624954e-54	0.06086399197390908	0.2873149753934795	-322.02082006354294			0.1187742399726646	1.3631547187417166e-52
PDIA4	-0.4795843575523381	0.001706200889526097	0.08785859809745249	0.46531098889465156	-410.87883638498874			0.15287440643539973	0.0046365182067177315
GSTA5	-2.005079599025978	1.8465150754739732e-102	0.0799773456874963	0.1786011529287592	-230.542672000101			0.09329388333405583	3.622862578079935e-100
IDH1	-1.1258193336896973	1.157426847508175e-15	0.13842106370911644	0.3947800820672518	-376.63630845261787			0.14057110074900317	8.849924507228838e-15
EEF1B2	0.006502246857532406	0.9732227772937783	0.04610705186209726	0.6740099186102383	-436.59800677737417			0.1937119603076689	0.978208549718439
HSPD1	0.42014837302983016	0.001612718101183569	0.13406733822702802	0.35523163610063946	-361.7671806147			0.1332283161760896	0.004431586715017035
ACADL	-0.2784965363001466	0.08206073391731201	0.00016402846861789737	0.507069116290393	-416.83324020090686			0.1601611160201807	0.13394605652725972
FN1	0.7074516817262021	4.282230853294079e-07	0.1618747824456234	0.36016367875030536	-339.9610763151186			0.1399242048187626	1.8670526520362184e-06
NCL	0.019207210986812474	0.9138732290232634	0.024270404328115818	0.6230665082365388	-460.2946877508068			0.1775906837933963	0.9367916799078594
ATP1B1	0.9506838118080635	3.696295132592465e-08	0.039478875010688495	0.5317835773596611	-391.6407798153846			0.1727015081610317	1.8040126990413972e-07
VIM	0.43779269840561796	0.0029641201960379946	0.305851452185417	0.37959838077815977	-338.8441854442772			0.1473337834180869	0.007572400813315814
HSPA5	0.5940743375928126	5.9630256313470424e-05	0.2236886419076133	0.42716090859618366	-393.2277216726852			0.14799065684912602	0.00020525361910005084
CAT	-0.27477426072652067	0.04958828757947606	0.31272312410872427	0.3850963789113956	-374.552284113985			0.13994116702722126	0.08828695120774233
HSD17B12	-0.9502302138349311	2.0981187220944846e-08	0.07165782002782883	0.5123556252185694	-394.4367764582248			0.16957163141150444	1.0501298297830048e-07
PDIA3	0.4647978368027816	0.0020229134343291793	0.17503866028107018	0.46121665986864435	-413.99146751108447			0.15057363081441016	0.005363454267775472
SLC27A2	-0.9794196692159064	6.197516063343575e-10	0.0860839268552651	0.4843125220915454	-415.4079156616872			0.15834574152958372	3.4544109421250265e-09
CA3	-1.3189130925546027	5.804625871830199e-39	0.22549454072317313	0.20771434630038546	-258.9175132459909			0.10101275513442926	1.0744033925029103e-37
HMGCS2	-0.06039028173997061	0.6630515802574772	0.22621854566099386	0.38397949579026064	-377.4560500224404			0.1386039523566488	0.7349758194718476
ENPEP	0.27586511151500803	0.18799472338885082	0.2422866226335378	0.6890695569595391	-383.8179739091254			0.2095388475617956	0.2665069705844836
LMNA	0.2708100971142072	0.11465558865368712	0.1470873307202432	0.5541525678962443	-419.22755531431767			0.17165862426986034	0.17547134550587687
ABCD3	-1.38270957736645	8.801597998035398e-28	0.10357020025940722	0.3154796845605099	-335.824499484283			0.12656950429030936	1.1668064373071252e-26
ADH5	0.06124008817376823	0.7094487348274063	0.050340000620232625	0.5383089783328217	-434.1075803185713			0.1643603163351911	0.7707300208922322
MTTP	-0.4714599750736838	0.003052814934637666	0.08195422852534746	0.47887330546696816	-404.74219080565695			0.15914963481355973	0.007778731041245586
RPS20	-0.10316887197645788	0.5389408286642883	0.009520037466584776	0.5521242941658405	-439.8335764279102			0.16791386338805625	0.6178975445390446
ACO1	0.17090365497687224	0.33704366480201453	0.028033452344292664	0.5814530654656255	-431.04147054948453			0.17802038488080088	0.4288454412072325
RAD23B	0.6608183323275211	0.0026499127797603725	0.2686311729732154	0.7381347558514125	-400.6547278171231			0.21985681567801557	0.006840959044591909
TLN1	0.34806430068150584	0.03167637669314672	0.12004819445269006	0.48359647546453166	-397.40565003071356			0.16200560273109707	0.06105014840074053
RPS6	0.032202405038062355	0.8606265238199446	0.04712597245214002	0.6351960500895601	-450.18236489327774			0.18340935086535662	0.8915254697649058
FGGY	0.3265365582425886	0.09215016401558684	0.20136086361809227	0.5926691695365741	-385.2077816105725			0.19388654811593367	0.14651428022575477
SCP2	-0.1262493696170875	0.3868496118633151	0.18486861833570029	0.4333104957543515	-402.84784009634586			0.1458948862122173	0.4785617518763079
CPT2	0.5099799099566481	0.0027497176166720967	0.05615433000912483	0.5288992936704824	-407.5937025914079			0.1703103709070644	0.0070430103967502
HMGCL	-1.061300861817736	1.4288359591898767e-10	0.02041530078601013	0.5367598470337482	-434.9748946141531			0.16549761455093248	8.495079248274358e-10
PRDX1	-1.902716304546082	5.597158022459652e-62	0.0396555702670925	0.26196206094086955	-299.6804251580111			0.11453071023412002	1.9610042928688997e-60
YARS1	0.24653811412659224	0.1560894783248894	0.11819599052286495	0.46736463114194193	-332.62146007057106			0.173820731093737	0.22752418757313
RPL22	-0.2876561262099455	0.10067929138374754	0.04832914455049127	0.5527686932219116	-409.8118647784065			0.17523239727851936	0.15677203944040688
KHK	0.5261583549678713	0.021876676903117155	0.0004945181822034785	0.8114692895521859	-414.42878070775816			0.22951268691068763	0.04432702727775041
UGDH	-0.8232332497191917	2.588294003340462e-07	0.05936858076964208	0.49858876250206263	-420.6407094322585			0.15981397739246656	1.159413889167577e-06
ALB	0.5423804702191378	0.0019183759532850025	0.013809426733136593	0.5907136625289492	-456.59367641415906			0.17481559415282152	0.005154219089003614
RAN	0.12567945276018389	0.572493182345041	0.2143835410654398	0.8709255189734328	-476.11822161254963			0.2226845012851476	0.6492668345439135
HPD	-1.7959685809505028	2.8441771914613415e-62	0.10512176713176363	0.2346467700465633	-281.35822984598894			0.10784196066828321	1.0333843795642874e-60
ALDH2	-1.5679247873704245	6.932978790628088e-49	0.0006509955719070686	0.23521916463639236	-281.5602623811651			0.10669735481543081	1.789803208843725e-47
ATP2A2	0.5396731977479807	6.231281152755782e-05	0.17071079685754628	0.35491333757798005	-355.4808968767243			0.13478766158735422	0.00021299257180673947
PXMP2	-0.09444883417566595	0.5963345334718553	0.0718154127792463	0.6016567382192894	-428.83489950955527			0.17831335603127924	0.6708763501558372
ACTB	0.11732363347773057	0.45960658805304655	4.9758362896925453e-11	0.46867130856520434	-398.6166583274378			0.15865376113492127	0.5478421177157213
RPL6	0.22713687725469475	0.2233142323963112	0.11405243972602985	0.6647139919753292	-466.7316066512426			0.18651984621506854	0.3063933733996941
CALD1	0.27446830541132883	0.11711349564085964	0.12648760949973104	0.5227907345952502	-382.0564365011056			0.17515469636591524	0.17812145616074931
CMAS	-0.6899153726986995	0.00016760689199293966	0.0032498917198660283	0.5031477815564013	-327.35013142635864			0.1833214978413043	0.0005444449041227609
RPL28	0.19858161404057492	0.13221744783671366	0.2347006234877907	0.3329383195404539	-337.4349455873471			0.13191155322085588	0.1979073697865445
IDH2	-0.7827788107109819	3.1205412767897143e-07	0.11339732454490037	0.44317818292994976	-390.4930781941805			0.15300549916514147	1.3851814445840315e-06
PSMC4	-0.023941355667186748	0.8925430193718654	0.1026427979187349	0.5369428325862611	-386.39276232669147			0.17722904632459943	0.917803670863522
FAH	-0.9225602271862344	1.6030313545012398e-09	0.014553305580360073	0.47328273986676445	-416.7552724200757			0.15290266487304957	8.736520882031756e-09
ALDOA	0.38627142833981043	0.052054512858543275	2.7758557800333885e-09	0.6852692979088723	-433.62424363900845			0.1988340333292881	0.09151519196098737
TPP1	-0.21781951098186525	0.1366326122725536	0.0251792197191606	0.41534865563090057	-377.8807069685272			0.1463399557988626	0.20308574642329558
NDUFB11	0.9026303070576133	4.011980307986607e-08	0.014257790054124468	0.5426361772859284	-442.3807793486692			0.1644038447877744	1.9483924168984464e-07
OTC	2.283343097193713	7.888235126249624e-136	0.002622947824811323	0.1731211295877528	-221.34637846360147			0.09205116987119745	7.73835865885088e-133
RPS4X	0.2525938805752964	0.10598443144391759	0.028541344751922812	0.4894637902370334	-421.76737053392435			0.15625893147020353	0.16347598623660875
GOT2	0.6044096797635761	5.54087616193326e-06	0.22844542872942603	0.35579584777577816	-364.41608079464504			0.1330363520294122	2.200647576864991e-05
COX4I1	1.3644896760210903	2.936230699352744e-19	0.014945795283341825	0.456786020513789	-405.6995122217679			0.15209872039742292	2.7696560731394633e-18
HSD17B2	-0.10079984789335858	0.5336127722828164	0.040631984241501155	0.518956376812779	-430.17662721110855			0.16192731948864444	0.6144062554101443
ACTA1	-0.10754357708857994	0.52428099221886	0.02153631849928913	0.5511627099837692	-433.3675880552414			0.16889177588975762	0.6072250925226703
RDX	-0.3744914443923838	0.023220210824448438	0.12025790768524541	0.5290999616621542	-428.3019462268476			0.16498932808179348	0.04658287693002846
SLC37A4	1.0262133438359191	8.946693039754681e-09	5.697937625514039e-10	0.5392099515760383	-363.9853551211427			0.17848501204298395	4.5951339643975616e-08
STT3A	0.8023166686514608	6.452350313087757e-07	0.056172844143014565	0.4988731148542383	-411.0140453848726			0.16119964720344568	2.7884386154797754e-06
ANXA2	0.44318783948993024	0.04029014160655288	0.24057977318667523	0.7458558403659427	-425.197671919939			0.21610887348730762	0.07457477153967618
CYP1A2	-1.7803224172677534	6.823358952336864e-40	0.003727907607800843	0.32300534935681596	-313.5110810855399			0.13467983457877578	1.312493163184797e-38
PPIB	0.3332319990744853	0.034337949956331576	0.11426586896406325	0.5046802315198343	-431.1855627157522			0.1574760399776049	0.06528203276581643
ME1	-1.2760634162248932	2.9001543904702267e-22	0.03889915955438391	0.3407169877561776	-348.00541484897803			0.1314992292962883	3.0591951151089168e-21
RPSA2	-0.17359742617657584	0.3328112903469246	0.09056825800099519	0.569738754940608	-395.21813106739705			0.17924974357300597	0.4245616070615514
AGL	-0.8744721323624428	1.0564415103458137e-08	0.215594878563982	0.4253824627792775	-379.40781232584186			0.15284209031615684	5.3421088744806355e-08
CTNND1	0.05103298036451845	0.7751446508712798	0.03556387672078112	0.5313009952525078	-376.9613967680051			0.1786543608188637	0.8289796274423648
FAAH	-0.7336606904635706	8.755466828559728e-06	0.12048275140181357	0.5227779321703686	-420.5145539471537			0.16502234655695647	3.355122249537927e-05
HSD17B13	1.6578924485938176	1.2398295588828236e-73	2.9230935753036216e-10	0.15841601099004898	-193.0732728838991			0.09133425871068895	7.601704982900312e-72
EEF2	0.22441533002587427	0.23115659261140964	0.021229748863607827	0.6646804932712012	-463.9970253707165			0.18742122321276442	0.31451403238806225
DPP4	0.33348024735936266	0.04218644089597164	0.1277324583901982	0.5203391117299334	-416.40984922991606			0.16414044604347813	0.0767841002843749
TTC38	0.2736119701060785	0.14377366932631871	0.04995486277786355	0.6391166390199513	-430.96302905531047			0.18716425315079444	0.21221717797045883
H1-2	0.2050101115167939	0.189958890544892	0.0008861407870835469	0.48886992165422744	-415.34484863159946			0.1564126014200076	0.2689028450570549
SRP72	0.3141327404778945	0.062319489113597075	0.10753684708707843	0.5167480489723992	-396.3471884416783			0.16852472213019576	0.10669357560285991
GPI	0.8290125169562816	3.472069572792304e-07	0.09852241560389245	0.49483873682162716	-404.6511836340567			0.1626843243267157	1.5273992156543723e-06
TUBB4B	-0.2566015973896767	0.09180131795455294	0.26771874439422544	0.4543731431951919	-401.18414760258133			0.15219807711600838	0.14643429742018932
RPS16	0.4473286389205158	0.023118386267016636	0.06888954470623333	0.7336755505133153	-491.1550532282347			0.19693332283316184	0.04647364124578549
NME1	-0.44778410571112187	0.00705237363488288	0.010107440007756227	0.5426102886221384	-432.0590647120457			0.16619306266903533	0.016051922356891197
EEF1A1	-0.03489669823448828	0.8348273214137379	0.13379829973391488	0.5553673362535076	-444.39338938260084			0.16735867746301608	0.8721678405824036
RPL10A	-0.05888452509890108	0.7063496129538928	0.10126521099220195	0.4870004910461419	-417.7093277023455			0.15629055524852697	0.7690665597200542
FAU	0.11271659481966229	0.4915040599656626	0.11229654656100488	0.4641609302030013	-359.6311826918943			0.16385165231600804	0.5774436920075628
PDZK1	0.2635658443095535	0.1744601249616763	0.06500487764366732	0.6192944592266327	-394.8203970801944			0.1940822292504548	0.2513148055615337
ATP5MF	1.077711002208427	5.254979026120598e-10	0.021611341378809504	0.503437626034106	-364.2850425868261			0.1735082686803689	2.9627209336921303e-09
PHB1	-0.17761660098004517	0.21329717839032114	0.14715632444427648	0.40976569554767545	-390.68929083240323			0.14271551081528075	0.2951262792678491
RPL12	0.21203999307899377	0.22552516093287278	0.007831733182965159	0.591257022004677	-449.42703403689075			0.17495530874819665	0.3089946688200394
ADK	-0.4964810351537787	0.0006324211557298787	0.11933722863173524	0.4254557673881509	-394.84736493576065			0.14528396421137038	0.0018914791273506432
RDH16	-1.138166153471331	7.973545566362391e-16	0.029918564116516475	0.3944059725152117	-381.6927002949542			0.14130625410412787	6.2079747623821474e-15
FMO1	-1.9966837389717271	1.1018870578013384e-41	0.113727138321368	0.40580384069088393	-371.97284153969736			0.14762074287313273	2.2998961780917295e-40
PKLR	1.367474138001674	5.952136669946615e-22	0.04759465700271414	0.3738051475336462	-354.84346245496977			0.1419961797781584	6.082339659601697e-21
DHX9	0.2515957172435805	0.19245812340351554	0.034520960461853004	0.6530105214285457	-432.00266430383704			0.1930389499270304	0.27165671807028596
TUBA1C	0.22921109100483336	0.15588245178959292	0.165461378689354	0.5083422383259675	-424.26068513255814			0.16152354721206452	0.22752418757313
RPL7	-0.08683231885292099	0.5765420687787275	0.04889350768856043	0.4861529837367338	-423.0571238100224			0.15549009196216212	0.6531036598983044
S100A1	0.9820600917157972	3.9641494045217524e-10	0.18845429133290115	0.3900977499744054	-312.60408415814754			0.15699314800837297	2.274169921541426e-09
ARF6	-0.6536086997285978	0.0001428928425035664	0.0026618643016033477	0.5302227566203519	-384.9086312229782			0.17186178877998376	0.0004672595949866622
TST	-0.07786122536954963	0.6661193802471237	0.0500654173252201	0.6144177334775953	-452.33441870114643			0.1804515214968371	0.7367115129903363
FBL	-0.152294869600466	0.3750362441485776	0.019637615631511684	0.5479086449294023	-401.86217078276377			0.17168124787270259	0.467090100371972
RPL9	0.10277618266929546	0.5361194691274977	0.0781563114832129	0.5212902883349834	-414.07393725863176			0.16611856957453383	0.6158468374872076
RPS8	-0.2122809810071374	0.204194867018895	0.015530273844299412	0.5595467565621264	-447.3037753229655			0.16719111187119273	0.28534923724435324
AHCY	-0.3087690018968766	0.022239100040054853	0.16909707569067153	0.3701285665054731	-370.0143772797999			0.13505424218988918	0.044890035266036646
KRT8	-0.1312386336927614	0.28914329949211914	0.3363954755256189	0.28120287593300103	-308.3822367209			0.12380969806388649	0.377193586172565
RPS23	0.29560884863145404	0.05240955529272389	0.04097655011451017	0.4359341854395072	-377.3504148470963			0.1523949948139144	0.09197455052265141
H2AX	0.12504701215862948	0.4895528107798599	0.07081535437209788	0.661395404524553	-475.0989365932719			0.18095998028343022	0.576158577000143
H1-4	0.21658737392910918	0.20524137935193854	1.1246512782397987e-09	0.5684957431588911	-448.89074171331777			0.17097753205923744	0.2859968652617212
PCBP1	0.19125768008517494	0.3076913497170488	0.00400505218177477	0.6459565130627636	-450.3461597739506			0.1874931453032106	0.39821268347285604
